,lat,long
Arendal,58.424515,8.756882
Askvoll,61.368639,5.040658
Bodø,67.121,14.247
Bømlo,59.808094,5.093005
Egersund,58.4608,5.889831
"Engelsvik,Fredrikstad",59.24973,10.73148
"Festvåg,Mistfjorden",67.43705,14.77348
Flekkerøy,58.080294,7.98647
Frøya,63.769144,8.659576
Gildeskål,67.121,14.247
Gjøvika,63.923533,10.111743
Grimstad,58.305845,8.5815
Gulen,60.960507,5.079272
Hvaler,59.19217,10.77749
Kragerø,58.857348,9.436104
Kvitsøy,59.0465085,5.4151415
Larvik,59.0232,10.09578
Lofoten,68.307504,13.838713
"Måløyvær,Steigen",67.807466,14.67704
"Møkland,BøiNordland",68.769465,14.68786
Namdal,64.474983,11.1887
Namsos,64.5152335,11.3784
Nærøy,64.874825,11.8209915
Oldøya,63.883052,9.940794
OldøyaN,63.883052,9.940794
Risør,58.730467,9.216733
RånesMindebukta,63.925265,10.038014
Skråfjorden,63.937079,9.988482
Trettøya,59.5054115,5.23684475
Tromsø,69.6748295,18.9514785
Tønsberg,59.256572,10.49964
Vesterålen,68.791733,14.697954
Åfjord,63.923533,10.111743
Øygardenblåskjell,60.517717,4.890717
Øygardenkamskjell,60.517717,4.890717
